 x    y    z    Ex    Ey    Ez
  -20.000000000000000       -16.000000000000000        12.000000000000000       -5.6745873753307515E-004  -4.5396711193075259E-004   3.4047533394806443E-004
  -20.000000000000000       -16.000000000000000        14.000000000000000       -5.3937902101425348E-004  -4.3150328762875259E-004   3.7756537667515847E-004
  -20.000000000000000       -16.000000000000000        16.000000000000000       -5.0974907436779143E-004  -4.0779932782834106E-004   4.0779932782834106E-004
  -20.000000000000000       -16.000000000000000        18.000000000000000       -4.7931448804073879E-004  -3.8345161374697776E-004   4.3138306546535002E-004
  -20.000000000000000       -16.000000000000000        20.000000000000000       -4.4872787559948479E-004  -3.5898238487004549E-004   4.4872798108755685E-004
  -20.000000000000000       -14.000000000000000       -20.000000000000000       -4.7259164257963199E-004  -3.3081413021526942E-004  -4.7259161459324198E-004
  -20.000000000000000       -14.000000000000000       -18.000000000000000       -5.0600320613861821E-004  -3.5420212125380520E-004  -4.5540272732632096E-004
  -20.000000000000000       -14.000000000000000       -16.000000000000000       -5.3937902101425369E-004  -3.7756537667515863E-004  -4.3150328762875276E-004
  -20.000000000000000       -14.000000000000000       -14.000000000000000       -5.7199476432461969E-004  -4.0039628656963409E-004  -4.0039628656963409E-004
  -20.000000000000000       -14.000000000000000       -12.000000000000000       -6.0301425008326098E-004  -4.2210984859161310E-004  -3.6180844164995411E-004
  -20.000000000000000       -14.000000000000000       -10.000000000000000       -6.3151866402095765E-004  -4.4206308983109127E-004  -3.1575934987935095E-004
  -20.000000000000000       -14.000000000000000       -8.0000000000000000       -6.5655267581202865E-004  -4.5958672944319291E-004  -2.6262098825325313E-004
  -20.000000000000000       -14.000000000000000       -6.0000000000000000       -6.7719021378387237E-004  -4.7403303249890353E-004  -2.0315701392810152E-004
  -20.000000000000000       -14.000000000000000       -4.0000000000000000       -6.9260319727649838E-004  -4.8482240090514549E-004  -1.3852068597289870E-004
  -20.000000000000000       -14.000000000000000       -2.0000000000000000       -7.0213337367367368E-004  -4.9149344804330414E-004  -7.0213349720472023E-005
  -20.000000000000000       -14.000000000000000        0.0000000000000000       -7.0535902001706745E-004  -4.9375148908937063E-004   0.0000000000000000     
  -20.000000000000000       -14.000000000000000        2.0000000000000000       -7.0213337367367368E-004  -4.9149344804330414E-004   7.0213349720472023E-005
  -20.000000000000000       -14.000000000000000        4.0000000000000000       -6.9260319727649838E-004  -4.8482240090514549E-004   1.3852068597289870E-004
  -20.000000000000000       -14.000000000000000        6.0000000000000000       -6.7719021378387237E-004  -4.7403303249890353E-004   2.0315701392810152E-004
  -20.000000000000000       -14.000000000000000        8.0000000000000000       -6.5655267581202865E-004  -4.5958672944319291E-004   2.6262098825325313E-004
  -20.000000000000000       -14.000000000000000        10.000000000000000       -6.3151866402095765E-004  -4.4206308983109127E-004   3.1575934987935095E-004
